wn_idx,mean,std
78,-0.0018800928,0.01130326
79,-0.0014330314,0.011547138
80,-0.000831353,0.0119210845
81,-4.597029e-05,0.012459514
82,0.0007385143,0.013061321
83,0.0012473662,0.013525485
84,0.0013446839,0.013746655
85,0.0010336459,0.013719578
86,0.00031533968,0.013453448
87,-0.0007663054,0.012994741
88,-0.0019949924,0.012467846
89,-0.0031098828,0.012001573
90,-0.0038694926,0.011632268
91,-0.0039313156,0.011350668
92,-0.0031232864,0.011102964
93,-0.0016192291,0.010857192
94,0.00033628492,0.010659438
95,0.0025452722,0.010552353
96,0.0047899047,0.010502904
97,0.0068657934,0.010488858
98,0.008543736,0.010458852
99,0.00969079,0.010379688
100,0.010303015,0.010287159
101,0.01036412,0.010210181
102,0.009940138,0.010192967
103,0.00917206,0.01025311
104,0.008159284,0.0103839245
105,0.007019365,0.0106046125
106,0.0058429725,0.010880009
107,0.0046304218,0.011110235
108,0.003455778,0.0112486025
109,0.0024468831,0.011287649
110,0.0016848414,0.011235762
111,0.0012957697,0.011189262
112,0.0013762541,0.011246218
113,0.0019141185,0.011421757
114,0.0029242146,0.011690556
115,0.0044773696,0.012015814
116,0.006554118,0.012364657
117,0.009038306,0.012712845
118,0.011787606,0.013043628
119,0.014551182,0.013309604
120,0.017051326,0.01343409
121,0.019041367,0.013309266
122,0.020244135,0.012827876
123,0.020470079,0.01194928
124,0.019743914,0.010840782
125,0.018219572,0.009889841
126,0.016221067,0.009539863
127,0.014207211,0.009979191
128,0.01262535,0.010890325
129,0.011866828,0.011679256
130,0.012297841,0.011915088
131,0.01405637,0.011506296
132,0.017050968,0.010762021
133,0.020967951,0.010340727
134,0.025236804,0.010833914
135,0.029273657,0.012248148
136,0.032579787,0.014054362
137,0.034660775,0.015677145
138,0.03515998,0.016719937
139,0.0339625,0.016992059
140,0.031026458,0.016483331
141,0.026494775,0.015379019
142,0.020783305,0.014021965
143,0.0143928155,0.0128314905
144,0.007799209,0.012152415
145,0.0014717781,0.012112434
146,-0.004178597,0.01256968
147,-0.008849872,0.0132319145
148,-0.01235833,0.01384609
149,-0.014674742,0.014249564
150,-0.015871903,0.01439351
151,-0.016059982,0.014310489
152,-0.015441035,0.014044749
153,-0.014136363,0.013699454
154,-0.012295617,0.013347783
155,-0.010166053,0.012977087
156,-0.007838734,0.012623341
157,-0.0053153313,0.0123858545
158,-0.002866304,0.012137294
159,-0.00069318194,0.011826344
160,0.0012635775,0.011637218
161,0.0028305934,0.011511851
162,0.0037322089,0.011310279
163,0.003992706,0.011149809
164,0.0037013497,0.011177729
165,0.0028053678,0.0113353785
166,0.0015233346,0.011712118
167,0.00025953376,0.012380699
168,-0.00069458,0.013217627
169,-0.0012776399,0.013901407
170,-0.0014285069,0.014225691
171,-0.0010151924,0.014232617
172,-6.92079e-05,0.01395791
173,0.0011754669,0.01340123
174,0.0025418953,0.012693049
175,0.003929646,0.012013822
176,0.005098228,0.01140272
177,0.0059464,0.010937349
178,0.006449525,0.010650567
179,0.0065577626,0.0104778595
180,0.006302147,0.010391218
181,0.005765566,0.010361899
182,0.0051166127,0.0103974715
183,0.0046234448,0.010529381
184,0.004528648,0.010765075
185,0.0049699508,0.011101926
186,0.005980348,0.011483993
187,0.0074759335,0.011890095
188,0.009171331,0.012283619
189,0.010659731,0.012601012
190,0.011579181,0.012812036
191,0.011615494,0.012843276
192,0.0105093485,0.012614432
193,0.008389673,0.012289618
194,0.0061497823,0.011921149
195,0.0040351395,0.0114800865
196,0.0023503094,0.010991801
197,0.0012692165,0.010429256
198,0.000868397,0.0097677
199,0.0011106866,0.00911155
200,0.0018425691,0.008581484
201,0.0028407031,0.008288725
202,0.003792516,0.008198051
203,0.0043602674,0.008162892
204,0.004360267,0.008162893
205,0.004360267,0.008162892
206,0.004360267,0.008162892
207,0.004360267,0.008162892
208,0.004360266,0.008162893
209,0.004360266,0.008162893
210,0.0043602665,0.008162893
211,0.0043602665,0.008162893
212,0.0043602674,0.008162892
213,0.004360267,0.008162892
214,0.004360266,0.008162893
215,0.004360266,0.008162893
216,0.0043602665,0.008162893
217,0.0043602665,0.008162894
218,0.0043602665,0.008162893
219,0.0043602665,0.008162893
220,0.004360267,0.008162892
221,0.004360267,0.008162892
222,0.004360267,0.008162892
223,0.0043602674,0.0081628915
224,0.004360268,0.008162892
225,0.0043602665,0.008162893
226,0.004360267,0.008162892
227,0.0043602665,0.008162892
228,0.0043602665,0.008162894
229,0.004360267,0.008162893
230,0.0043602665,0.008162893
231,0.0043602665,0.008162893
232,0.004360267,0.008162892
233,0.0043602665,0.008162893
234,0.004360267,0.008162893
235,0.004360267,0.008162892
236,0.0043602665,0.008162894
237,0.0043602674,0.008162893
238,0.0043602674,0.008162892
239,0.0043602674,0.008162892
240,0.0043602665,0.008162893
241,0.004360267,0.008162892
242,0.004360267,0.008162892
243,0.004360266,0.008162893
244,0.004360266,0.008162892
245,0.0043602665,0.008162893
246,0.004360267,0.008162893
247,0.0043602665,0.008162893
248,0.004360266,0.008162893
249,0.004360267,0.008162893
250,0.004360266,0.008162893
251,0.0043602665,0.008162893
252,0.004360267,0.008162893
253,0.0043602665,0.008162893
254,0.0043602665,0.008162893
255,0.0043602674,0.008162892
256,0.004360267,0.008162892
257,0.004360267,0.008162892
258,0.004360267,0.008162892
259,0.004360267,0.008162892
260,0.004360267,0.008162892
261,0.004360267,0.008162892
262,0.004360267,0.008162892
263,0.004360267,0.008162892
264,0.0043602665,0.008162893
265,0.004360267,0.008162892
266,0.005443273,0.00801014
